chapter,script,n_pass,n_fail,n_total,success,duration_s,timestamp
app_p,proof_app_p_eml,29,0,29,True,1.654,2026-04-26T14:06:40.471922+00:00
app_q,proof_app_q,30,0,30,True,0.086,2026-04-26T14:06:40.786901+00:00
app_r,proof_app_r,31,0,31,True,0.087,2026-04-26T14:06:41.121945+00:00
app_s,proof_app_s,22,0,22,True,0.195,2026-04-26T14:06:41.567830+00:00
ch01,proof_T1_sieve,44,0,44,True,0.078,2026-04-26T14:06:41.804880+00:00
ch02,proof_T6_uniqueness,172,0,172,True,0.38,2026-04-26T14:06:42.270753+00:00
ch03,proof_conservation,43,0,43,True,0.094,2026-04-26T14:06:42.455766+00:00
ch04,proof_GFT,41,0,41,True,0.401,2026-04-26T14:06:42.941684+00:00
ch05,proof_G1_G5,28,0,28,True,8.143,2026-04-26T14:06:51.170945+00:00
ch06,proof_holonomy,24,0,24,True,0.002,2026-04-26T14:06:52.147704+00:00
ch07,proof_T4_convergence,64,0,64,True,12.419,2026-04-26T14:07:04.667315+00:00
ch08,proof_T5_fixed_point,33,0,33,True,0.053,2026-04-26T14:07:05.466534+00:00
ch09,proof_bridge_axioms,112,0,112,True,0.073,2026-04-26T14:07:06.282174+00:00
ch10,proof_alpha_EM,17,0,17,True,0.0,2026-04-26T14:07:06.992249+00:00
ch11,proof_couplings,11,0,11,True,0.0,2026-04-26T14:07:07.705082+00:00
ch12,proof_quantum,42,0,42,True,0.687,2026-04-26T14:07:08.488956+00:00
ch13,proof_relativity,192,0,192,True,0.048,2026-04-26T14:07:09.220484+00:00
ch14,proof_thermodynamics,70,0,70,True,0.475,2026-04-26T14:07:09.823551+00:00
ch15,test_43_observables,55,0,55,True,0.001,2026-04-26T14:08:56.689670+00:00
ch16,test_NLO_NNLO,50,0,50,True,0.0,2026-04-26T14:07:11.242926+00:00
ch17,test_feynman_programme,115,0,115,True,0.004,2026-04-26T14:07:11.963106+00:00
ch18,test_quarkonium,54,0,54,True,0.014,2026-04-26T14:07:12.701303+00:00
ch19,test_hadrons,34,0,34,True,0.0,2026-04-26T14:07:13.461793+00:00
ch20,test_collider,71,0,71,True,0.001,2026-04-26T14:07:14.159498+00:00
ch21,test_predictions,34,0,34,True,0.0,2026-04-26T14:07:16.331870+00:00
ch22_chemistry,proof_C12_completude,15,0,15,True,0.0,2026-04-26T14:07:17.044850+00:00
ch22_chemistry,proof_C13_three_centers,15,0,15,True,0.0,2026-04-26T14:07:17.775848+00:00
ch22_chemistry,proof_C14_thermo_limit,13,0,13,True,0.0,2026-04-26T14:07:18.504026+00:00
ch22_chemistry,proof_C1_periodic_table,29,0,29,True,0.0,2026-04-26T14:07:19.196732+00:00
ch22_chemistry,proof_C2_shannon_cap,23,0,23,True,0.0,2026-04-26T14:07:19.901950+00:00
ch22_chemistry,proof_C3_permutation,26,0,26,True,0.0,2026-04-26T14:07:20.645399+00:00
ch22_chemistry,proof_C7_transfer_matrix,114,0,114,True,0.001,2026-04-26T14:07:21.400358+00:00
ch22_chemistry,proof_C8_band_gap,24,0,24,True,0.0,2026-04-26T14:07:22.124322+00:00
ch22_chemistry,proof_C9_tier_cascade,20,0,20,True,0.0,2026-04-26T14:07:22.829509+00:00
ch22_chemistry,test_IE_atomic,196,0,196,True,0.004,2026-04-26T14:07:23.741803+00:00
ch22_chemistry,test_condensed_matter,28,0,28,True,0.0,2026-04-26T14:07:24.491956+00:00
ch22_chemistry,test_electrochemistry,29,0,29,True,0.0,2026-04-26T14:07:25.183544+00:00
ch22_chemistry,test_molecular,12,0,12,True,0.0,2026-04-26T14:07:25.875387+00:00
ch22_chemistry,test_nuclear,32,0,32,True,0.0,2026-04-26T14:07:26.582136+00:00
ch23,test_audit,14,0,14,True,0.606,2026-04-26T14:07:27.314483+00:00
ch25,proof_T0_closing,28,0,28,True,1.216,2026-04-26T14:07:28.634447+00:00
ch_PM,test_PM_algebra,58,0,58,True,0.025,2026-04-26T14:07:28.741516+00:00
ch_math_structures,test_complex_mechanics,40,0,40,True,0.0,2026-04-26T14:07:29.422832+00:00
ch_math_structures,test_math_tools,387,1,388,False,1.49,2026-04-26T14:07:31.024625+00:00
verify_sota,verify_sota,0,0,0,True,0.0,2026-04-26T14:07:31.085623+00:00
